,player_id,player_name,country,type
109,973953,Arshad Khan,afghanistan,All rounder
110,956871,Prerak Mankad,india,All rounder
111,1206052,Yudhvir Singh,india,All rounder
112,1403153,Arshin Kulkarni,india,All rounder
113,308251,David willey,england,All rounder
114,1079848,Shivam Mavi,india,Bowler
115,351588,Mark wood,england,Bowler
116,1339274,Mayank Yadav,india,Bowler
117,1132005,Mohshin Khan,india,Bowler
118,1175441,Ravi Bishnoi,india,Bowler
119,1070196,Yash Thakur,india,Bowler
120,427458,Amit Mishra,india,Bowler
121,793447,Naveen Ul Haq,afghanistan,Bowler
122,1151286,M Sidhdharth,india,Bowler
123,924355,Rohit Sharma,india,Batter
124,1070665,Dewald Brevis,southafrica,Batter
125,446507,SuryaKumar yadav,india,Batter
126,720471,Ishan Kishan,india,Batter
127,1170265,N.Tilak Varma,india,Batter
128,892749,Tim david,australia,Batter
129,732293,Vishnu Vinod,india,Batter
130,25913,Mohammad Nabi,afghanistan,All rounder
131,1148776,Arjun Tendulkar,india,All rounder
132,677077,Romario Shephered,westindies,All rounder
133,1131607,Shams Mulani,india,All rounder
134,1151273,Nehal Wadhera,india,All rounder
135,625371,Hardik Pandya,india,All rounder
136,596010,Gerald Coetzee,southafrica,All rounder
137,1175428,Anshul Kamboj,india,All rounder
138,1287032,Naman Dhir,india,All rounder
139,1167965,Shivalik Sharma,india,All rounder
140,625383,Jasprit Bumrah,india,Bowler
141,1159843,Kumar Kartikeya Singh,india,Bowler
142,32966,Piyush Chawla ,india,Bowler
143,1206039,Akash Madhwal,india,Bowler
144,272477,Jason Behrendorff,australia,Bowler
145,793007,Dilshan Madushanka,srilanka,Bowler
146,344580,Shreyas Gopal ,india,Bowler
147,955235,Nuwan Thushara,srilanka,Bowler
148,28235,Shikar Dhawan,india,Batter
149,721867,Jitesh Sharma,india,Batter
150,297433,Jonny Bairstow,england,Batter
151,1161024,Prabhsimran Singh,india,Batter
152,403902,Liam Livingstone,england,Batter
153,340854,Harpreet Bhatia,india,Batter
154,318845,Rilee Rossouw,southafrica,Batter
155,377534,Shashank Singh,india,Batter
156,247235,Chris Woakes,england,All rounder
157,1354639,vishwanath Pratap Singh,england,All rounder
158,1131978,Ashutosh Sharma,india,All rounder
159,1080008,Tanay Thyagarajan,india,All rounder
160,1125958,Atharva Taide,india,All rounder
161,290727,Rishi Dhawan,india,All rounder
162,662973,Sam Curran,england,All rounder
163,299572,Sikandar Raja,zimbabwe,All rounder
164,1252390,Shivam singh,india,All rounder
165,1412827,Prince Choudhary,india,Bowler
166,1168641,Harpreet Bhar,india,Bowler
167,1057391,Arshdeep Singh,india,Bowler
168,550215,Kasigo Rabada,southafrica,Bowler
169,826915,Nathan Ellis,australia,Bowler
170,1064812,Rahul Chahar,india,Bowler
171,1155262,Vidwath Kaverappa,india,Bowler
172,390481,Harshal Patel,india,Bowler
173,425943,Sanju Samson,india,Batter
174,308967,JosButtler,england,Batter
175,670025,Shimron Hetmyer,westindies,Batter
176,1151278,Yashasvi Jaiswal,india,Batter
177,1175488,Dhruv Jurel,india,Batter
