,player_name,position,team_name
221,Abdul Samad,Batter,Sunrisers Hyderabed
222,Aiden Markram,Batter,Sunrisers Hyderabed
223,Rahul Tripathi,Batter,Sunrisers Hyderabed
224,Glenn Phillips,Batter,Sunrisers Hyderabed
225,Mayank Agarwal,Batter,Sunrisers Hyderabed
226,Heinrich Klaasen,Batter,Sunrisers Hyderabed
227,Anmolpreet Singh ,Batter,Sunrisers Hyderabed
228,Upendra singh yadav,Batter,Sunrisers Hyderabed
229,Nitish Kumar Reddy,Batter,Sunrisers Hyderabed
230,Travis Head,Batter,Sunrisers Hyderabed
231,Abhishek Sharma,All rounder,Sunrisers Hyderabed
232,Macro Jansen,All rounder,Sunrisers Hyderabed
233,Washington sundar,All rounder,Sunrisers Hyderabed
234,Sanvir singh,All rounder,Sunrisers Hyderabed
235,Wanindu Hasaranga,All rounder,Sunrisers Hyderabed
236,Jhathavedh Subramanyan,Bowler,Sunrisers Hyderabed
237,Akash Singh,Bowler,Sunrisers Hyderabed
238,Shahbaz Ahamad,Bowler,Sunrisers Hyderabed
239,BhuvneshKumar,Bowler,Sunrisers Hyderabed
240,Fazalhaq FarooQI,Bowler,Sunrisers Hyderabed
241,Jaydev Unadkat,Bowler,Sunrisers Hyderabed
242,T Natrajan,Bowler,Sunrisers Hyderabed
243,Umran Malik ,Bowler,Sunrisers Hyderabed
244,Mayank Markande,Bowler,Sunrisers Hyderabed
245,Pat Cummins ,Bowler,Sunrisers Hyderabed
